iter	Passed	Remaining
376	23670	7722
377	23750	7665
378	23824	7606
379	23898	7547
380	23965	7485
381	24033	7423
382	24099	7362
383	24165	7300
384	24229	7237
385	24292	7174
386	24355	7111
387	24418	7048
388	24482	6986
389	24542	6922
390	24602	6858
391	24663	6795
392	24739	6735
393	24815	6676
394	24909	6621
395	24989	6563
396	25072	6504
397	25152	6446
398	25226	6385
399	25298	6324
400	25377	6265
401	25445	6203
402	25512	6140
403	25574	6077
404	25643	6015
405	25706	5951
406	25769	5888
407	25829	5824
408	25884	5759
409	25939	5694
410	25994	5628
411	26049	5563
412	26106	5499
413	26188	5440
414	26244	5375
415	26300	5310
416	26354	5245
417	26413	5181
418	26487	5120
419	26567	5060
420	26637	4998
421	26708	4936
422	26785	4875
423	26853	4813
424	26929	4752
425	27005	4691
426	27069	4627
427	27137	4565
428	27197	4501
429	27255	4436
430	27312	4372
431	27365	4307
432	27421	4243
433	27478	4178
434	27534	4114
435	27594	4050
436	27655	3986
437	27713	3922
438	27770	3858
439	27826	3794
440	27877	3729
441	27929	3664
442	27984	3600
443	28036	3536
444	28110	3474
445	28172	3411
446	28233	3347
447	28286	3283
448	28340	3219
449	28393	3154
450	28451	3091
451	28513	3028
452	28568	2964
453	28622	2900
454	28681	2836
455	28739	2773
456	28793	2709
457	28849	2645
458	28910	2582
459	28967	2518
460	29020	2455
461	29072	2391
462	29209	2334
463	29318	2274
464	29405	2213
465	29467	2149
466	29538	2087
467	29626	2025
468	29696	1962
469	29786	1901
470	29853	1838
471	29920	1774
472	30006	1712
473	30092	1650
474	30175	1588
475	30258	1525
476	30348	1463
477	30420	1400
478	30483	1336
479	30547	1272
480	30611	1209
481	30676	1145
482	30737	1081
483	30798	1018
484	30861	954
485	30944	891
486	31017	827
487	31090	764
488	31154	700
489	31223	637
490	31283	573
491	31344	509
492	31405	445
493	31466	382
494	31526	318
495	31592	254
496	31651	191
497	31709	127
498	31770	63
499	31829	0
