iter	Logloss
0	0.6273019235
1	0.5681601684
2	0.51905778
3	0.4764101567
4	0.440099022
5	0.4082912878
6	0.380976201
7	0.3573474754
8	0.3358715291
9	0.3180915584
10	0.3024435883
11	0.2890245531
12	0.2773462758
13	0.2671395454
14	0.2582439936
15	0.250376804
16	0.2435417178
17	0.237123514
18	0.2319034877
19	0.2273136855
20	0.2232732095
21	0.2195044603
22	0.2163090305
23	0.2134821301
24	0.2110350724
25	0.2088715196
26	0.2069568391
27	0.2051229359
28	0.2030249167
29	0.2017051991
30	0.2003301184
31	0.1988547789
32	0.1979407488
33	0.1971083389
34	0.1956631374
35	0.1943458865
36	0.1936933395
37	0.1931906663
38	0.1927387854
39	0.192277346
40	0.1919241556
41	0.1914952709
42	0.1906916696
43	0.1898463641
44	0.1891464283
45	0.1886247239
46	0.1880454
47	0.1877378992
48	0.1872449042
49	0.186930404
50	0.1864071406
51	0.1858290504
52	0.1852885034
53	0.1849101071
54	0.1847584319
55	0.1845901009
56	0.184290105
57	0.1839793369
58	0.1838191774
59	0.1835554331
60	0.1832451592
61	0.182815275
62	0.1827952329
63	0.182772003
64	0.1827557617
65	0.1823014323
66	0.1821206938
67	0.1819425471
68	0.1817426536
69	0.1813038941
70	0.181022757
71	0.1808576736
72	0.1806293251
73	0.1806007149
74	0.1802314547
75	0.1801786685
76	0.1800191352
77	0.179924045
78	0.1794356298
79	0.1793287663
80	0.1793276775
81	0.179318908
82	0.1792594695
83	0.1790988574
84	0.1790971416
85	0.1790214939
86	0.1789117594
87	0.1786318027
88	0.1784610377
89	0.178212358
90	0.1777154025
91	0.1776311437
92	0.1772416825
93	0.1771172615
94	0.1770926035
95	0.1770552991
96	0.1769247736
97	0.1768631829
98	0.1767764183
99	0.1767268377
100	0.1765063291
101	0.1764241639
102	0.1760702691
103	0.1760418059
104	0.1760416666
105	0.1757244736
106	0.1755077581
107	0.1754162897
108	0.1754103193
109	0.1754094072
110	0.1754092765
111	0.1753020105
112	0.1753018853
113	0.175074241
114	0.1749246591
115	0.1748628704
116	0.1748447316
117	0.1747271075
118	0.1746608445
119	0.1746370303
120	0.1743203258
121	0.1743001446
122	0.1741462829
123	0.1741059976
124	0.1739156502
125	0.1737741293
126	0.1737049731
127	0.1735282072
128	0.1735232415
129	0.1734482552
130	0.1734479939
131	0.1732841285
132	0.1732838314
133	0.1730695652
134	0.1730399638
135	0.1730219176
136	0.173021672
137	0.1729919879
138	0.1729903211
139	0.1729755767
140	0.1729153397
141	0.1727781152
142	0.1727551491
143	0.1727391699
144	0.172021113
145	0.1718333531
146	0.1716541689
147	0.1715181746
148	0.1714703338
149	0.1713158531
150	0.1710318712
151	0.1708914159
152	0.1707964925
153	0.1707960831
154	0.1707887697
155	0.1707616671
156	0.1707441296
157	0.170743696
158	0.1707271152
159	0.1706390137
160	0.1706238012
161	0.1705532524
162	0.1705423227
163	0.1705168481
164	0.1703780858
165	0.1700849934
166	0.1700257595
167	0.1699558583
168	0.169877505
169	0.1697853276
170	0.1697256753
171	0.1696097608
172	0.1695535144
173	0.1694544003
174	0.1693466458
175	0.1691507353
176	0.169127285
177	0.1690561188
178	0.1688882872
179	0.1688878721
180	0.1688756679
181	0.168723331
182	0.1686482408
183	0.1683645883
184	0.1683414472
185	0.1680489425
186	0.1680004416
187	0.1679757955
188	0.167863588
189	0.1677095311
190	0.1675487591
191	0.1674220567
192	0.167325581
193	0.1671763595
194	0.1671656274
195	0.1670457262
196	0.1670293609
197	0.1670018176
198	0.1669801408
199	0.1669733414
200	0.1669134338
201	0.1668946197
202	0.1667078181
203	0.1666853236
204	0.1663892151
205	0.1662288716
206	0.166196563
207	0.166063616
208	0.1660435316
209	0.1658789245
210	0.1658681555
211	0.1657928276
212	0.1657454471
213	0.1657331617
214	0.1657018643
215	0.1656919628
216	0.1654091135
217	0.1653990045
218	0.165379464
219	0.16521456
220	0.1651950853
221	0.165171961
222	0.1651627126
223	0.1649865823
224	0.1649619943
225	0.1648479148
226	0.1648311595
227	0.1648010816
228	0.1644711087
229	0.1643404447
230	0.1643222982
231	0.1642694473
232	0.1642601049
233	0.1642514007
234	0.1642434173
235	0.1642252627
236	0.1642174592
237	0.1639786391
238	0.1639170577
239	0.1637685507
240	0.1635565884
241	0.163541083
242	0.1634785812
243	0.1634495716
244	0.1634367893
245	0.1633512899
246	0.1632968861
247	0.1628277825
248	0.1627534885
249	0.1626475752
250	0.1624511769
251	0.1623546715
252	0.1622610516
253	0.162106834
254	0.1620973493
255	0.1620930632
256	0.161964461
257	0.1619442909
258	0.1618260095
259	0.1617750086
260	0.1617623463
261	0.1616195187
262	0.161243557
263	0.161207994
264	0.1609304122
265	0.1606177994
266	0.1605970104
267	0.1603919756
268	0.1603768802
269	0.1603565067
270	0.1603353137
271	0.1602635587
272	0.1601566272
273	0.1599640531
274	0.1599429384
275	0.159901559
276	0.1598320443
277	0.1598173283
278	0.1594863878
279	0.1594547854
280	0.1591730607
281	0.1589906537
282	0.1588253704
283	0.1587735536
284	0.1586758525
285	0.1586053754
286	0.1584778973
287	0.1584255072
288	0.1583332306
289	0.1580705906
290	0.1579922206
291	0.1579826141
292	0.157889839
293	0.1578007408
294	0.157747176
295	0.1577134721
296	0.1576242264
297	0.1573272816
298	0.1571107878
299	0.1570039219
300	0.1569670552
301	0.1569037652
302	0.1568183448
303	0.1567892186
304	0.1567620387
305	0.1567512363
306	0.1566208924
307	0.156567225
308	0.1565549968
309	0.1565302477
310	0.1564523017
311	0.156408037
312	0.1563310299
313	0.1562988019
314	0.1560128785
315	0.1558779354
316	0.1558001932
317	0.155738396
318	0.1557203658
319	0.1555245661
320	0.1553557129
321	0.1551134399
322	0.1551058365
323	0.1547871676
324	0.1547763717
325	0.1547068511
326	0.1545357172
327	0.1543561789
328	0.1542830318
329	0.1542616972
330	0.1540455119
331	0.1540189809
332	0.1539400413
333	0.1536400083
334	0.1535987817
335	0.153528979
336	0.1534463943
337	0.1533825071
338	0.1533158042
339	0.1532815002
340	0.1532405986
341	0.1531886411
342	0.1529492298
343	0.1529328259
344	0.152857467
345	0.1527712524
346	0.1525487932
347	0.1525296659
348	0.1525017316
349	0.1524501934
350	0.1524277516
351	0.1523443613
352	0.1523087939
353	0.1523018605
354	0.1522472895
355	0.1522022557
356	0.1521845896
357	0.1521657916
358	0.1521419963
359	0.1521196618
360	0.1519388645
361	0.151819183
362	0.1517851384
363	0.1516222868
364	0.1515344662
365	0.1514099471
366	0.1510943414
367	0.1509537884
368	0.1508791993
369	0.1507458118
370	0.1507204396
371	0.1506280972
372	0.1506021791
373	0.1505260763
374	0.1503487336
375	0.1503293951
376	0.1502994674
377	0.1502622166
378	0.1501346583
379	0.1500186373
380	0.1498932992
381	0.1497109083
382	0.1494821811
383	0.1493971029
384	0.1492647107
385	0.1491529226
386	0.1491189115
387	0.1490519245
388	0.1489690147
389	0.1488685927
390	0.1487017291
391	0.1485368291
392	0.1485336791
393	0.1482906996
394	0.1481449222
395	0.1481261945
396	0.1479878892
397	0.1479522323
398	0.1479161915
399	0.1476706799
400	0.1476556328
401	0.1475880252
402	0.1475284151
403	0.1473778606
404	0.1471681154
405	0.1470975571
406	0.1470825826
407	0.1470261549
408	0.1469537431
409	0.1467641169
410	0.146650456
411	0.1464870852
412	0.146460145
413	0.1461476573
414	0.146052259
415	0.1460117975
416	0.146001996
417	0.1459507819
418	0.145916999
419	0.1457346672
420	0.1454844866
421	0.1452050512
422	0.1451521467
423	0.1451071827
424	0.1450596744
425	0.1449412762
426	0.1449270668
427	0.1448119798
428	0.1446502449
429	0.1446263175
430	0.1445976289
431	0.1445718572
432	0.1444724706
433	0.1442751907
434	0.1441828231
435	0.1441419933
436	0.1439592431
437	0.1437856969
438	0.1437051616
439	0.1435489562
440	0.1435309092
441	0.1434320134
442	0.143379289
443	0.1433067491
444	0.143299024
445	0.1430708198
446	0.1428632044
447	0.1427128941
448	0.142692189
449	0.1425266379
450	0.1424830909
451	0.1424155238
452	0.1423015542
453	0.1422673567
454	0.1422011118
455	0.1420982659
456	0.1420576241
457	0.1419988461
458	0.1419543644
459	0.1418302629
460	0.1418060511
461	0.1416937131
462	0.1416849333
463	0.1415669162
464	0.1415155997
465	0.1414631004
466	0.1414525307
467	0.1413504383
468	0.1411892921
469	0.1410990279
470	0.1409317316
471	0.140731084
472	0.1407076119
473	0.140668529
474	0.140612954
475	0.1404207121
476	0.1403065105
477	0.1402043984
478	0.1401600134
479	0.1401096704
480	0.1400616982
481	0.1400068859
482	0.1398291484
483	0.1397494327
484	0.1396843361
485	0.1395482997
486	0.1393706722
487	0.1393495563
488	0.1393053644
489	0.139199321
490	0.1390775785
491	0.1390050072
492	0.1389996762
493	0.1389723538
494	0.13882909
495	0.1388225478
496	0.138800763
497	0.1386515339
498	0.1383855068
499	0.1381884836
